"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.5mm","~"
"J1,J2,J3,J4,J5,J6,J7,J10,J11,J12","10","Conn_01x01","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"J8","1","USB_A","","","","Connector_USB:USB_A_Kycon_KUSBX-AS1N-B_Horizontal","~"
"J9","1","Conn_01x02_Pin","","","","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~"
"J13,J15","2","Conn_01x03_Pin","","","","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical","~"
"J14","1","USB_C_Receptacle","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J16","1","Conn_01x01_Pin","","","","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"R1,R2","2","5.1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"SW1,SW2,SW3","3","SW_Push","","","","Button_Switch_THT:SW_PUSH-12mm","~"
